,Lot Number,Product,Date,Shop Order,requested_qty,packaging,resin,colorant,Formula Sheet,misc,lid component lid,label,lid assembly,PRINTER ACCESSORIES,SILICON FLUID,rubber tip,ifu,pad,label stock,label kit,purging solvent,lid component hood,lid component,PAD,LABEL,barrel,lid component rotor,lid,lid component door,lid component cap,lid component washer,container,TRAY,fg,lid component cowl,bracket key,cannula,tip cap,NC
1127,20C24363,8933,20200608.0,192361,480.0,R1292D,RM165,,FS20001205,,,,WP7483,,,,PT00012105,,R4415,,,,,,,,,,,,,,,,,,,,0
1128,20C24663,8938Y,20200707.0,192364,1400.0,R1690,RM129,PT00062563,FS10003187,,,,WP8935,,,,PT00006635,,R4415,,,,,,,,,,,,,,,,,,,,0
1129,20C24763,8985CRS,20200527.0,192365,1484.0,RM054,RM129,PT00065936,FS10028283,,,,WP7449,,,,PT00012137,R5097,R4415,,,,,,,,,,,,,,,,,,,,0
1130,20C24863,8967Y,20200715.0,192366,1134.0,R1300D,RM171,RM260,FS10003201,,,,WP8965U,,,,PT00006610,,R4415,,,,,,,,,,,,,,,,,,,,0
1131,20C25163,8980,20200512.0,192369,1926.0,R1644A,RM165,,FS10003210,,,,WP8980-C,,,,PT00012105,,R4415,,,,,,,,,,,,,,,,,,,,0
1132,20C25363,8608RC,20200826.0,192371,360.0,R1644A,RM168,RM074,FS10021636,,,,WP7449,,,,PT00006651,,R4415,WP0002PKG,,,,,,,,,,,,,,,,,,,0
1133,20C26063,8989PG2,20200612.0,192378,1652.0,R1700,RM176,PT00062563,FS10003741,,,,PT00013694,,,,PT00012138,R5097,R4415,,,,,,,,,,,,,,,,,,,,0
1134,20C26363,V8985,20200701.0,192381,1224.0,CL63R1654,RM129,PT00062563,FS10003257,,,,PT00013692,,,,PT00012138,R5097,R4415,,,,,,,,,,,,,,,,,,,,0
1135,20C26463,8529,20200506.0,192383,180.0,R9249D,,,FS10003128,,,,,,,,,,R4415,,,,,,,,,,,,,,R8550,,,,,,0
1136,20C26563X,8881112599,20200406.0,192384,624.0,5500149,0301001,,FS10028544,,,,,EXP5050,PT00009994,4006202,,,5241008,,,,,,,,,,,,,,,,,,,,0
1137,20C26663X,8881112599,20200415.0,192385,624.0,5500149,0301001,,FS10028544,,,,,EXP5050,PT00009994,4006202,,,5241008,,,,,,,,,,,,,,,,,,,,0
1138,20C26763X,8881512852,20200429.0,192386,360.0,PT00015840,0301001,,FS10011725,,,,,EXP6026,PT00009994,4001801,,,5241008,,,,,,,,,,,,,,,,,,,,0
1139,20C26863X,8881512852,20200429.0,192387,360.0,PT00015840,0301001,,FS10011725,,,,,EXP6026,PT00009994,4001801,,,5241008,,,,,,,,,,,,,,,,,,,,0
1140,20C26963X,8881512852,20200429.0,192388,360.0,PT00015840,0301001,,FS10011725,,,,,EXP6026,PT00009994,4001801,,,5241008,,,,,,,,,,,,,,,,,,,,0
1141,20C27063X,4502570,20200408.0,192389,335000.0,5542735,0301001,,DC00056758,,,,,EXP5050,PT00009994,4001204,,,,,,,,,,,,,,,,,,,,,,,1
1142,20C27163X,4502570,20200408.0,192390,335000.0,5542735,0301001,,DC00056758,,,,,EXP5050,PT00009994,4001204,,,,,,,,,,,,,,,,,,,,,,,0
1143,20C27263X,4502570,20200408.0,192391,335000.0,5542735,0301001,,DC00056758,,,,,EXP5050,PT00009994,4001204,,,,,,,,,,,,,,,,,,,,,,,0
1144,20C27363X,4502570,20200408.0,192392,335000.0,5542735,0301001,,DC00056758,,,,,EXP5050,PT00009994,4001204,,,,,,,,,,,,,,,,,,,,,,,0
1145,20C27463X,4502570,20200408.0,192393,335000.0,5542735,0301001,,DC00056758,,,,,EXP5050,PT00009994,4001204,,,,,,,,,,,,,,,,,,,,,,,0
1146,20C27563X,4502570,20200409.0,192394,335000.0,5542735,0301001,,DC00056758,,,,,EXP5050,PT00009994,4001204,,,,,,,,,,,,,,,,,,,,,,,0
1147,20C27663X,4502570,20200410.0,192395,335000.0,5542735,0301001,,DC00056758,,,,,EXP5050,PT00009994,4001204,,,,,,,,,,,,,,,,,,,,,,,0
1148,20C27763X,4502570,20200410.0,192396,335000.0,5542735,0301001,,DC00056758,,,,,EXP5050,PT00009994,4001204,,,,,,,,,,,,,,,,,,,,,,,0
1149,20C27863X,4502570,20200405.0,192397,335000.0,5542735,0301001,,DC00056758,,,,,EXP5050,PT00009994,4001204,,,,,,,,,,,,,,,,,,,,,,,0
1150,20C27963X,4502570,20200408.0,192398,167000.0,5542735,0301001,,DC00056758,,,,,EXP5050,PT00009994,4001204,,,,,,,,,,,,,,,,,,,,,,,0
1151,20C28463,065,20200624.0,192403,1350.0,CL63R1771,RM129,PT00065936,FS20001323,,,PT00034306,,,,,PT00034305,,R4415,,,,,,,,,,,,,,,,,,,,0
1152,20C92149,WP8520N,20200506.0,192149,31860.0,R1703,RM004,,FS10002970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1153,20D,WP8506,20200427.0,192782,35.0,CL63R1776,RM157,,FS10002960,,,,,X98146,,,,,,,,,,,,,,,,,,,,,,,,,0
1154,20D00163,047,20200624.0,192435,2660.0,R1528A,RM129,PT00065936,FS10026366,,,PT00034301,WP7102,,,,PT00034377,,R4415,,,,,,,,,,,,,,,,,,,,0
1155,20D00263,31322723,20200527.0,192436,504.0,R1693,RM106,RM170,FS10006051,,,PT00047930,R7637,,,,,,,,,,,R1694,,,,,,,,,,,,,,,0
1156,20D00463,8506SA,20200622.0,192438,3048.0,CL63R1776,RM171,,FS10003084,,,,,X98146,,,PT00006610,,R4415,,,,,,,,,,,,,,,,,,,,0
1157,20D00563,8506SA,20200706.0,192439,2808.0,CL63R1776,RM171,,FS10003084,,,,,X98146,,,PT00006610,,R4415,,,,,,,,,,,,,,,,,,,,0
1158,20D00663,8506SA,20200713.0,192440,2400.0,CL63R1776,RM171,,FS10003084,,,,,X98146,,,PT00006610,,R4415,,,,,,,,,,,,,,,,,,,,0
1159,20D00763,8507SA,20200420.0,192441,2808.0,CL63R1776,RM171,RM170,FS10003086,,,,,X98146,,,PT00006610,,R4415,,,,,,,,,,,,,,,,,,,,0
1160,20D00963,85221,20200715.0,192443,1152.0,,RM171,,FS10003117,,,,WP8520N,,,,PT00006610,,R4415,,,,,,,,,,,,,,,,,,,,0
1161,20D01363,8537Y,20200811.0,192447,1782.0,CL63R1780,RM171,RM260,FS10003140,,,,,EXP6029,,,PT00006610,,R4415,,,,,,,,,,,,,,,,,,,,0
1162,20D01463,8540SA,20200506.0,192448,240.0,,RM004,,FS10007848,,,,WP8540,,,,PT00006610,,R4415,,,,,,,,,,,,,,,,,,,,0
1163,20D01563,8607RC,20200505.0,192449,720.0,R1644A,RM168,RM074,FS10025554,,,,PT00013692,,,,PT00006651,,R4415,WP0002PKG,,,,,,,,,,,,,,,,,,,0
1164,20D01863,8900SA,20200812.0,192452,1296.0,CL63R1796,RM129,PT00065936,FS10003166,,,,,,,,PT00006610,,R4415,,,,,,,,,,,,,,,,,,,,0
1165,20D02063,8938,20200701.0,192454,5578.0,R1690,RM165,,FS10003185,,,,WP8935,,,,PT00006635,,R4415,,,,,,,,,,,,,,,,,,,,0
1166,20D02163,8950SA,20200812.0,192455,564.0,R1306D,RM093,PT00065936,FS10003190,,,PT00068806,,,,,CL63R9876B,,R4415,,,,,,,,R7013,,,,,,,,,,,,0
1167,20D02563,89671,20200415.0,192470,2276.0,R1300D,RM171,RM170,FS10003199,,,,WP8965N,,,,PT00006610,,R4415,,,,,,,,,,,,,,,,,,,,0
1169,20D02863X,4502500,20200407.0,192480,336000.0,5170588,0301001,,FS20005412,,,,,EXP6027,PT00009994,4101801,,,5241008,,,,,,,,,,,,,,,,,,,,1
1170,20D02963X,1181200777,20200506.0,192482,480.0,5170969,0301001,,FS10017237,,,,,PT00033969,PT00009994,4001801,,,5241008R,,,,,,,,,,,,,,,,,,,,0
1171,20D03063X,1181200777,20200506.0,192483,480.0,5170969,0301001,,FS10017237,,,,,PT00033969,PT00009994,4001801,,,5241008R,,,,,,,,,,,,,,,,,,,,0
1172,20D03163X,1181200777,20200506.0,192484,480.0,5170969,0301001,,FS10017237,,,,,PT00033969,PT00009994,4001801,,,5241008R,,,,,,,,,,,,,,,,,,,,0
1173,20D03263,31143699,20200812.0,192486,2496.0,R1697,RM157,PT00065936,FS10007061,,,,WP7102,,,,PT00033501,,R4415,,,,,,,,,,,,,,,,,,,,0
1174,20D03363,31323333,20200713.0,192487,1630.0,,RM106,RM170,FS10006090,,,,PT00075579,,,,PT00067913,,R4415,,,,,,,,,,,,,,,,,,,,0
1175,20D03863,8506SA,20200728.0,192492,2808.0,CL63R1776,RM171,,FS10003084,,,,,X98146,,,PT00006610,,R4415,,,,,,,,,,,,,,,,,,,,0
1176,20D03963,8507SA,20200615.0,192493,2808.0,CL63R1776,RM171,RM170,FS10003086,,,,,X98151,,,CL63R98334A,,PT00062605,,,,,,,,,,,,,,,,,,,,0
1177,20D04163,851301,20200715.0,192495,725.0,R1320D,RM171,RM170,FS10003099,,,,WP851201N,,,,PT00006610,,R4415,,,,,,,,,,,,,,,,,,,,0
1178,20D04263,85131,20200603.0,192496,2100.0,R1246D,RM171,RM170,FS10003101,,,,WP8510,,,,PT00006610,,R4415,,,,,,,,,,,,,,,,,,,,0
1179,20D04363,8617U,20200722.0,192497,168.0,R1700,RM168,RM074,FS20001169,,,,PT00013694,,,,PT00067916,,R4415,WP0002PKG,,,,,,,,,,,,,,,,,,,0
1180,20D04463,8836SA,20200923.0,192498,1566.0,,RM093,,FS10006504,,,PT00068805,WP8836P,,,,CL63R98234,,R4415,,,,,R5098,,,,,,,,,,,,,,,0
1181,20D04563,8967MW,20200708.0,192499,198.0,R1300D,RM165,,FS10003200,,,,WP8965MW,,,,PT00006610,,R4415,,,,,,,,,,,,,,,,,,,,0
1182,20D04863,8991Y,20200709.0,192502,504.0,R1690,RM129,PT00062563,FS10003233,,,,WP7483,,,,PT00012105,,R4415,,,,,,,,,,,,,,,,,,,,0
1183,20D04963,8997,20200610.0,192503,1896.0,RM054,RM129,PT00065936,FS10003237,,,,PT00013707,,,,PT00012138,,R4415,,,,,,,,,,,,,,,,,,,,0
1184,20D05763X,8881112599,20200423.0,192508,624.0,5500149,0301001,,FS10028544,,,,,EXP5050,PT00009994,4006202,,,5241008,,,,,,,,,,,,,,,,,,,,0
1185,20D05863X,8881112599,20200423.0,192509,624.0,5500149,0301001,,FS10028544,,,,,EXP5050,PT00009994,4006202,,,5241008,,,,,,,,,,,,,,,,,,,,0
1186,20D05963X,8881512852,20200527.0,192510,360.0,PT00015840,0301001,,FS10011725,,,,,EXP6026,PT00009994,4001801,,,5241008,,,,,,,,,,,,,,,,,,,,0
1187,20D06063X,8881512852,20200527.0,192511,360.0,PT00015840,0301001,,FS10011725,,,,,EXP6026,PT00009994,4001801,,,5241008,,,,,,,,,,,,,,,,,,,,0
1188,20D06163X,8881512852,20200527.0,192512,360.0,PT00015840,0301001,,FS10011725,,,,,EXP6026,PT00009994,4001801,,,5241008,,,,,,,,,,,,,,,,,,,,0
1189,20D06263X,8881512852,20200527.0,192513,360.0,PT00015840,0301001,,FS10011725,,,,,EXP6026,PT00009994,4001801,,,5241008,,,,,,,,,,,,,,,,,,,,0
1190,20D06363X,8881512852,20200527.0,192514,360.0,PT00015840,0301001,,FS10011725,,,,,EXP6026,PT00009994,4001801,,,5241008,,,,,,,,,,,,,,,,,,,,0
1191,20D06463X,4502570,20200411.0,192515,335000.0,5542735,0301001,,DC00056758,,,,,EXP5050,PT00009994,4001204,,,,,,,,,,,,,,,,,,,,,,,0
1192,20D06563X,4502570,20200412.0,192516,335000.0,5542735,0301001,,DC00056758,,,,,EXP5050,PT00009994,4001204,,,,,,,,,,,,,,,,,,,,,,,0
1193,20D06663X,4502570,20200415.0,192517,335000.0,5542735,0301001,,DC00056758,,,,,EXP5050,PT00009994,4001204,,,,,,,,,,,,,,,,,,,,,,,0
1194,20D06763X,4502570,20200415.0,192518,335000.0,5542735,0301001,,DC00056758,,,,,EXP5050,PT00009994,4001204,,,,,,,,,,,,,,,,,,,,,,,0
1195,20D06863X,4502570,20201201.0,192519,204000.0,5542735,0301001,,DC00056758,,,,,EXP5050,PT00009994,4001204,,,,,,,,,,,,,,,,,,,,,,,1
1196,20D06963X,4502570,20200415.0,192520,335000.0,5542735,0301001,,DC00056758,,,,,EXP5050,PT00009994,4001204,,,,,,,,,,,,,,,,,,,,,,,0
1197,20D07063X,4502570,20200416.0,192521,335000.0,5542735,0301001,,DC00056758,,,,,EXP5050,PT00009994,4001204,,,,,,,,,,,,,,,,,,,,,,,0
1198,20D07163X,4502570,20200417.0,192522,335000.0,5542735,0301001,,DC00056758,,,,,EXP5050,PT00009994,4001204,,,,,,,,,,,,,,,,,,,,,,,0
1199,20D07263X,8881112985,20200506.0,192523,350.0,5170588,0301001,,FS10024418,,,,,4220125,PT00009994,4001801,,,5241008,,,,,,,,,,,,,,,,,,,,0
1200,20D07363X,6492743,20200610.0,192524,153600.0,5000109,0301001,,FS20003116,,,,,X9901,PT00009994,4101801,,,5241008,,,,,,,,,,,,,,,,,,,,1
1201,20D07463X,5551777369MT,20200422.0,192525,185.0,5000109,0301001,,FS10013324,,,,,4230505,,,,,5241008,,,,,,,,,,,,,,,,,,,,0
1202,20D07563X,1181200777,20200506.0,192526,480.0,5170969,0301001,,FS10017237,,,,,PT00033969,PT00009994,4001801,,,5241008R,,,,,,,,,,,,,,,,,,,,0
1203,20D07763X,1181200777,20200506.0,192528,480.0,5170969,0301001,,FS10017237,,,,,PT00033969,PT00009994,4001801,,,5241008R,,,,,,,,,,,,,,,,,,,,0
1204,20D07863X,1181200777,20200506.0,192529,480.0,5170969,0301001,,FS10017237,,,,,PT00033969,PT00009994,4001801,,,5241008R,,,,,,,,,,,,,,,,,,,,0
1205,20D07963X,1181200777,20201201.0,192530,56.0,5170969,0301001,,FS10017237,,,,,PT00033969,PT00009994,4001801,,,5241008R,,,,,,,,,,,,,,,,,,,,1
1206,20D08563,8980S,20200415.0,192553,3604.0,RM054,RM129,PT00065936,FS10003214,,,,WP7445,,,,PT00006635,,R4415,,,,,,,,,,,,,,,,,,,,0
1207,20D08863,8938,20200430.0,192557,3912.0,RM054,RM129,PT00065936,FS10003185,,,,WP8935,,,,PT00006635,,R4415,,,,,,,,,,,,,,,,,,,,0
1208,20D09063X,5551761207,20200518.0,192558,18000.0,EXP6001,,,FS10013527,,,,,,,4101801,,,,,,,,,,,,,,,,,,,,,,,0
1209,20D09163X,5551761207,20200615.0,192559,54000.0,EXP6001,,,FS10013527,,,,,,,4101801,,,,,,,,,,,,,,,,,,,,,,,0
1210,20D09263X,5551731218,20200615.0,192560,50.0,5000109,0301001,,FS10013524,,,,,,,,,,5241008,,,,,,,,,,,,,,,,,,,,0
1211,20D092835,WP8920,20200715.0,192835,360.0,R1159,RM093,PT00065936,FS10002981,,,,,,,,,,,,,,,,,,R7013,,,,,,,,,,,,0
1212,20D09363,8931PG2,20200527.0,192561,328.0,R1292D,RM176,PT00062563,FS10003748,,,,PT00013694,,,,PT00012138,R5097,R4415,,,,,,,,,,,,,,,,,,,,0
1213,20D09763,31142222,20200412.0,192564,3500.0,R1528A,RM165,PT00065936,FS10026364,,,,WP7102,X98151,,,PT00033501,,PT00062605,,,,,,,,,,,,,,,,,,,,0
1214,20D10263,31314886,20200910.0,192569,4296.0,,RM106,RM170,FS10006080,,,,PT00075579,,,,PT00067913,,R4415,,,,,,,,,,,,,,,,,,,,0
1215,20D10363,31325410,20200609.0,192570,660.0,CL63R1774,RM129,PT00065936,FS20001322,,,PT00047934,,,,,CL63R98474A,,,,,,,,,,,,,,,,,,,,,,0
1216,20D10463,85021,20200708.0,192571,650.0,R1324D,RM004,,FS10003080,,,,WP8510,,,,PT00006610,,R4415,,,,,,,,,,,,,,,,,,,,0
1217,20D10763,8507SA,20200622.0,192574,2808.0,CL63R1776,RM171,RM170,FS10003086,,,,,X98151,,,CL63R98334A,,PT00062605,,,,,,,,,,,,,,,,,,,,0
1218,20D10863,85121,20200701.0,192575,1275.0,R1246D,RM171,,FS10003096,,,,WP8510,,,,PT00006610,,R4415,,,,,,,,,,,,,,,,,,,,0
1219,20D10963,8533Y,20200909.0,192576,450.0,,RM004,RM260,FS10012536,,,,,,,,PT00006610,,R4415,,,,,,,,,,,,,PT00096177,,,,,,,0
1220,20D11063,8535Y,20200909.0,192577,1104.0,R1317D,RM004,RM260,FS10003136,,,,WP8526,,,,PT00012105,,R4415,,,,,,,,,,,,,,,,,,,,0
1221,20D11363,8870,20200715.0,192580,994.0,R1700,RM129,PT00065942,FS10003163,,,PT00006652,PT00013699,,,,CL63R98234,R5097,R4415,,,,,,,,,,,,,,,,,,,,0
1222,20D11863,8936SA,20200723.0,192585,424.0,R1292D,RM165,,FS20001205,,,,WP7418,,,,PT00012137,R5097,R4415,,,,,,,,,,,,,,,,,,,,0
1223,20D12463,8989,20200601.0,192591,2982.0,R1690,RM129,PT00062563,FS10003226,,,,PT00013702,,,,PT00012138,R5097,R4415,,,,,,,,,,,,,,,,,,,,0
1224,20D12663,8998,20200805.0,192593,1260.0,R1700,RM129,PT00065936,FS10003239,,,,PT00013703,,,,PT00012138,,R4415,,,,,,,,,WP8999,,,,,,,,,,,0
1225,20D12763,80-8705,20200721.0,192594,1134.0,R1644A,RM165,,DC00041675,,,PT00046145,WP8980-C,,,,PT00034294,,R4415,,,,,,,,,,,,,,,,,,,,0
1226,20D12863X,8881112599,20200428.0,192603,624.0,5500149,0301001,,FS10028544,,,,,EXP5050,PT00009994,4006202,,,5241008,,,,,,,,,,,,,,,,,,,,0
1227,20D12963X,8881112599,20200427.0,192604,624.0,5500149,0301001,,FS10028544,,,,,EXP5050,PT00009994,4006202,,,5241008,,,,,,,,,,,,,,,,,,,,0
1228,20D13063X,8881512878,20200527.0,192605,360.0,PT00015857,0301001,,FS10011723,,,,,EXP6026,PT00009994,4001801,,,5241008,,,,,,,,,,,,,,,,,,,,0
1229,20D13163X,8881512878,20200527.0,192606,360.0,PT00015857,0301001,,FS10011723,,,,,EXP6026,PT00009994,4001801,,,5241008,,,,,,,,,,,,,,,,,,,,0
1230,20D13263X,8881512878,20200527.0,192607,360.0,PT00015857,0301001,,FS10011723,,,,,EXP6026,PT00009994,4001801,,,5241008,,,,,,,,,,,,,,,,,,,,0
1231,20D13363X,8881512878,20200527.0,192608,360.0,PT00015857,0301001,,FS10011723,,,,,EXP6026,PT00009994,4001801,,,5241008,,,,,,,,,,,,,,,,,,,,0
1232,20D13463X,8881512878,20200527.0,192609,360.0,PT00015857,0301001,,FS10011723,,,,,EXP6026,PT00009994,4001801,,,5241008,,,,,,,,,,,,,,,,,,,,0
1233,20D13563X,8881512878,20200527.0,192610,360.0,PT00015857,0301001,,FS10011723,,,,,EXP6026,PT00009994,4001801,,,5241008,,,,,,,,,,,,,,,,,,,,0
1234,20D13663X,8881512878,20200527.0,192611,360.0,PT00015857,0301001,,FS10011723,,,,,EXP6026,PT00009994,4001801,,,5241008,,,,,,,,,,,,,,,,,,,,0
1235,20D13763X,4502570,20200416.0,192612,335000.0,5542735,0301001,,DC00056758,,,,,EXP5050,PT00009994,4001204,,,,,,,,,,,,,,,,,,,,,,,0
1236,20D13863X,4502570,20200603.0,192613,335000.0,5542735,0301001,,DC00056758,,,,,EXP5050,PT00009994,4001204,,,,,,,,,,,,,,,,,,,,,,,1
1237,20D13963X,4502570,20200417.0,192614,335000.0,5542735,0301001,,DC00056758,,,,,EXP5050,PT00009994,4001204,,,,,,,,,,,,,,,,,,,,,,,0
1238,20D14063X,4502570,20200418.0,192615,335000.0,5542735,0301001,,DC00056758,,,,,EXP5050,PT00009994,4001204,,,,,,,,,,,,,,,,,,,,,,,1
1239,20D14163X,4502570,20201201.0,192616,92000.0,5542735,0301001,,DC00056758,,,,,EXP5050,PT00009994,4001204,,,,,,,,,,,,,,,,,,,,,,,1
1240,20D14263X,4502570,20200422.0,192617,335000.0,5542735,0301001,,DC00056758,,,,,EXP5050,PT00009994,4001204,,,,,,,,,,,,,,,,,,,,,,,0
1241,20D14363X,4502570,20200422.0,192618,335000.0,5542735,0301001,,DC00056758,,,,,EXP5050,PT00009994,4001204,,,,,,,,,,,,,,,,,,,,,,,0
1242,20D14463X,4502570,20200422.0,192619,335000.0,5542735,0301001,,DC00056758,,,,,EXP5050,PT00009994,4001204,,,,,,,,,,,,,,,,,,,,,,,0
1243,20D14563X,4502570,20200422.0,192620,335000.0,5542735,0301001,,DC00056758,,,,,EXP5050,PT00009994,4001204,,,,,,,,,,,,,,,,,,,,,,,0
1244,20D14663X,410S,20200422.0,192621,288.0,PT00006673,0301001,0400145,FS10028977,,,,,4230505,PT00009994,4101801,,,PT00006674,,,,,,,,,,,,,,,,,,,7777129656,0
1245,20D14863X,8881907102,20200429.0,192623,288.0,5000231,0301001,,FS10017466,,,,,PT00006657,PT00009994,4101801,,,PT00006674,,,,,,,,,,,,,,,,,,,7777129656,0
1246,20D14963X,8881907102,20200429.0,192624,288.0,5000231,0301001,,FS10017466,,,,,PT00006657,PT00009994,4101801,,,PT00006674,,,,,,,,,,,,,,,,,,,7777129656,0
1247,20D15063X,8881907102,20200429.0,192625,288.0,5000231,0301001,,FS10017466,,,,,PT00006657,PT00009994,4101801,,,PT00006674,,,,,,,,,,,,,,,,,,,7777129656,0
1248,20D15163X,8881907102,20200430.0,192626,288.0,5000231,0301001,,FS10017466,,,,,PT00006657,PT00009994,4101801,,,PT00006674,,,,,,,,,,,,,,,,,,,7777129656,0
1249,20D15263X,8881907102,20200506.0,192627,288.0,5000231,0301001,,FS10017466,,,,,PT00006657,PT00009994,4101801,,,PT00006674,,,,,,,,,,,,,,,,,,,7777129656,0
1250,20D15363X,8881907102,20200506.0,192628,288.0,5000231,0301001,,FS10017466,,,,,PT00006657,PT00009994,4101801,,,PT00006674,,,,,,,,,,,,,,,,,,,7777129656,0
1251,20D15463X,8881907102,20200506.0,192629,288.0,5000231,0301001,,FS10017466,,,,,PT00006657,PT00009994,4101801,,,PT00006674,,,,,,,,,,,,,,,,,,,7777129656,0
1252,20D15563X,8881907102,20200506.0,192630,288.0,5000231,0301001,,FS10017466,,,,,PT00006657,PT00009994,4101801,,,PT00006674,,,,,,,,,,,,,,,,,,,7777129656,0
1253,20D15663X,8881907102,20200507.0,192631,288.0,5000231,0301001,,FS10017466,,,,,PT00006657,PT00009994,4101801,,,PT00006674,,,,,,,,,,,,,,,,,,,7777129656,0
1254,20D15763X,1181200777,20200506.0,192632,480.0,5170969,0301001,,FS10017237,,,,,PT00033969,PT00009994,4001801,,,5241008R,,,,,,,,,,,,,,,,,,,,0
1255,20D15863X,1181200777,20201231.0,192633,480.0,5170969,0301001,,FS10017237,,,,,PT00033969,PT00009994,4001801,,,5241008R,,,,,,,,,,,,,,,,,,,,1
1256,20D15963X,8881540122,20200513.0,192634,360.0,5170969,0301001,,FS10024556,,,,,PT00033969,PT00009994,4001801,,,5241008R,,,,,,,,,,,,,,,,,,4500906,,0
1257,20D16063X,8881540122,20200513.0,192635,360.0,5170969,0301001,,FS10024556,,,,,PT00033969,PT00009994,4001801,,,5241008R,,,,,,,,,,,,,,,,,,4500906,,0
1258,20D16163X,8881540122,20200520.0,192636,305.0,5170969,0301001,,FS10024556,,,,,PT00033969,PT00009994,4001801,,,5241008R,,,,,,,,,,,,,,,,,,4500906,,0
1259,20D16363,1522SA,20200622.0,192669,432.0,R1302D,RM129,PT00065936,FS10003045,,,,,,,,PT00006610,,R4415,,,,,,,,R7013,,,,,,,,,,,,0
1260,20D16463X,8881512852,20200527.0,192671,360.0,PT00015840,0301001,,FS10011725,,,,,EXP6026,PT00009994,4001801,,,5241008,,,,,,,,,,,,,,,,,,,,0
1261,20D16563X,8881512852,20200527.0,192672,360.0,PT00015840,0301001,,FS10011725,,,,,EXP6026,PT00009994,4001801,,,5241008,,,,,,,,,,,,,,,,,,,,0
1262,20D16663,8970Y,20200527.0,192673,1792.0,PT00044733,RM171,RM260,FS10003205,,,,WP8979,,,,PT00006610,,R4415,,,,,,,,,,,,,,,,,,,,0
1263,20D16763X,1181200777,20200506.0,192675,480.0,5170969,0301001,,FS10017237,,,,,PT00033969,PT00009994,4001801,,,5241008R,,,,,,,,,,,,,,,,,,,,0
1264,20D16863X,1181200777,20200513.0,192676,480.0,5170969,0301001,,FS10017237,,,,,PT00033969,PT00009994,4001801,,,5241008R,,,,,,,,,,,,,,,,,,,,0
1265,20D16963X,5551771405,20200422.0,192677,50.0,5500148,0301009,,FS10023269,,,,,,,,,,5241008,,,,,,,,,,,,,,,,,,,,0
1266,20D17063X,5551771405,20200422.0,192678,50.0,5500148,0301009,,FS10023269,,,,,,,,,,5241008,,,,,,,,,,,,,,,,,,,,0
1267,20D17363,31142222,20200528.0,192681,3820.0,R1528A,RM165,PT00065936,FS10026364,,,,WP7102,,,,PT00033501,,R4415,,,,,,,,,,,,,,,,,,,,0
1268,20D17463X,4502570,20200422.0,192686,335000.0,5542735,0301001,,DC00056758,,,,,EXP5050,PT00009994,4001204,,,,,,,,,,,,,,,,,,,,,,,0
1269,20D17563X,4502570,20200423.0,192687,335000.0,5542735,0301001,,DC00056758,,,,,EXP5050,PT00009994,4001204,,,,,,,,,,,,,,,,,,,,,,,0
1270,20D17663X,4502570,20200423.0,192688,335000.0,5542735,0301001,,DC00056758,,,,,EXP5050,PT00009994,4001204,,,,,,,,,,,,,,,,,,,,,,,0
1271,20D17763X,4502570,20200424.0,192689,335000.0,5542735,0301001,,DC00056758,,,,,EXP5050,PT00009994,4001204,,,,,,,,,,,,,,,,,,,,,,,0
1272,20D17863X,4502570,20200425.0,192690,335000.0,5542735,0301001,,DC00056758,,,,,EXP5050,PT00009994,4001204,,,,,,,,,,,,,,,,,,,,,,,0
1273,20D17963X,4502570,20200425.0,192691,335000.0,5542735,0301001,,DC00056758,,,,,EXP5050,PT00009994,4001204,,,,,,,,,,,,,,,,,,,,,,,0
1274,20D18063X,4502570,20200429.0,192692,335000.0,5542735,0301001,,DC00056758,,,,,EXP5050,PT00009994,4001204,,,,,,,,,,,,,,,,,,,,,,,0
1275,20D18163X,4502570,20200429.0,192693,335000.0,5542735,0301001,,DC00056758,,,,,EXP5050,PT00009994,4001204,,,,,,,,,,,,,,,,,,,,,,,0
1276,20D18263X,4502570,20200429.0,192694,335000.0,5542735,0301001,,DC00056758,,,,,EXP5050,PT00009994,4001204,,,,,,,,,,,,,,,,,,,,,,,0
1277,20D18363X,412SE,20200424.0,192695,255.0,CL63R1794,0301001,0400145,FS20006457,,,,,PT00033970,PT00009994,4001801,PT00055216,,5241008R,,,,,,,R7642B,,,,,,,,,,,,,0
1278,20D18463X,4502570,20201201.0,192696,146000.0,5542735,0301001,,DC00056758,,,,,EXP5050,PT00009994,4001204,,,,,,,,,,,,,,,,,,,,,,,1
1279,20D18563X,4502570,20200429.0,192697,335000.0,5542735,0301001,,DC00056758,,,,,EXP5050,PT00009994,4001204,,,,,,,,,,,,,,,,,,,,,,,0
1280,20D18663X,4502570,20201201.0,192698,335000.0,5542735,0301001,,DC00056758,,,,,EXP5050,PT00009994,4001204,,,,,,,,,,,,,,,,,,,,,,,0
1281,20D18763X,4502570,20200501.0,192699,335000.0,5542735,0301001,,DC00056758,,,,,EXP5050,PT00009994,4001204,,,,,,,,,,,,,,,,,,,,,,,0
1282,20D18863,V8618,20200617.0,192700,196.0,CL63R1768B,RM168,RM074,FS10029849,,,,WP7417P,,,,PT00006651,,R4415,WP0002PKG,,,,,,,,,,,,,,,,,,,0
1283,20D18963,1522SA,20200708.0,192701,416.0,R1302D,RM129,PT00065936,FS10003045,,,,,,,,PT00006610,,R4415,,,,,,,,R7013,,,,,,,,,,,,1
