,Lot Number,Product,Date,Shop Order,requested_qty,packaging,resin,colorant,Formula Sheet,misc,lid component lid,label,lid assembly,PRINTER ACCESSORIES,SILICON FLUID,rubber tip,ifu,pad,label stock,label kit,purging solvent,lid component hood,lid component,PAD,LABEL,barrel,lid component rotor,lid,lid component door,lid component cap,lid component washer,container,TRAY,fg,lid component cowl,bracket key,cannula,tip cap,Value Stream
1,19191259,R8930LA,20200401,191259,6864.000,,,,,,R7511*A,R4237,RM10022317,,,,,,,,,,,,,,,,,,,,,,,,,,Containers
2,19D27563X,4502570,20201201,188358,0,EXP5013,,,DC00056758,,,,,EXP5050,PT00009994,,,,,,,,,,,,,,,,,,,,,,,,Syringe
3,19E02463X,4502570,20201201,188400,0,EXP5013,,,DC00056758,,,,,EXP5050,PT00009994,,,,,,,,,,,,,,,,,,,,,,,,Syringe
4,19E02563X,4502570,20201201,188401,0,5542735,0301001,,DC00056758,,,,,EXP5050,PT00009994,4001204,,,,,,,,,,,,,,,,,,,,,,,Syringe
5,19E188488,R7046N,20200212,188488,316996.056,,RM004,,FS10002847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VS not found
6,19G00463X,4502570,20201201,189166,0,EXP5013,,,DC00056758,,,,,EXP5050,PT00009994,,,,,,,,,,,,,,,,,,,,,,,,Syringe
7,19G10763X,8881112083,20201201,189332,0,EXP6001,,,FS10017988,,,,,PT00033969,PT00009994,,,,,,,,,,,,,,,,,,,,,,,,Syringe
8,19G10863X,8881112083,20200406,189333,0,EXP6001,,,FS10017988,,,,,PT00033969,PT00009994,,,,,,,,,,,,,,,,,,,,,,,,Syringe
10,19G22963X,8881512878,20201201,189522,0,EXP6020,,,FS10011723,,,,,PT00033971,PT00009994,4001801,,,,,,,,,,,,,,,,,,,,,,,Syringe
11,19G23063X,8881512878,20201201,189523,0,EXP6020,,,FS10011723,,,,,PT00033971,PT00009994,4001801,,,,,,,,,,,,,,,,,,,,,,,Syringe
12,19G23163X,8881512878,20201201,189524,0,EXP6020,,,FS10011723,,,,,PT00033971,PT00009994,4001801,,,,,,,,,,,,,,,,,,,,,,,Syringe
13,19G28063,8985CRS,20200225,189592,0,RM054,RM129,PT00065936,FS10028283,,,,WP7449,,,,PT00012137,R5097,R4415,,,,,,,,,,,,,,,,,,,,Containers
14,19H03763X,8881112083,20201201,189649,0,5000109,0301001,,FS10017988,,,,,PT00033969,PT00009994,4101801,,,5241008,,,,,,,,,,,,,,,,,,,,Syringe
15,19H06863,8608U,20200219,189686,5940.000,R1644A,RM129,RM074,FS20001166,,,,WP7449,,,,PT00067917,,R4415,WP0002PKG,,,,,,,,,,,,,,,,,,,Containers
16,19H12063,8851,20200304,189772,10940.000,R1644A,RM129,PT00065942,FS10021628,,,PT00006652,WP7450BL,,,,CL63R98234,R5097,R4415,,,,,,,,,,,,,,,,,,,,Containers
17,19H17163,8851NB,20200304,189853,0,R1644A,RM129,PT00065942,FS20002478,,,PT00006677,WP7450BLNB,,,,CL63R98482,R5097,R4415,,,,,,,,,,,,,,,,,,,,Containers
18,19H189702,WP7449,20200205,189702,2700.000,R98028,RM160,PT00065942,FS10002950,,PT00012284,,WP7478,X9899,,,,,,,X9894,WP7477,,,,,,,,,,,,,,,,,Containers
19,19H189714,WP8985,20200102,189714,0,R98028,,PT00065942,DC00030201,,,,,,,,,,,,X9894,,,,,,,,,,,,,,,,,,Containers
20,19H189875,WP7478,20200115,189875,25985.485,,RM036,RM018,FS10002954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Containers
21,19H189878,WP7450BLNB,20200304,189878,0,R98028,RM160,PT00065943,FS20002482,,PT00012285,,WP7478,X9899,,,,,,,X9894,,WP7477NB,,,,,,,,,,,,,,,,Containers
22,19H189902,R7028GRMW,20201014,189902,7643.155,,RM093,RM025,FS10003349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VS not found
23,19H190037,WP7450BL,20200305,190037,0,R98028,RM093,PT00065943,FS10021629,,PT00012285,R4237,WP7478,X9899,,,,,,,X9894,WP7477,,,,,,,,,,,,,,,,,Containers
24,19H25863,31144010,20200115,189982,45000.000,R1680,RM032,RM170,FS10006041,,,,WP7605,,,,PT00006643,,R4415,,,,,R1679,,,,,,,,,,,,,,,Containers
25,19J00963,8618RC,20200108,190050,10440.000,R1700,RM176,RM074,FS10021632,,,,WP7417P,,,,PT00006651,,R4415,WP0002PKG,,,,,,,,,,,,,,,,,,,Containers
26,19J02763X,8881512878,20200406,190081,0,PT00015857,0301001,,FS10011723,,,,,EXP6026,PT00009994,4001801,,,5241008,,,,,,,,,,,,,,,,,,,,Syringe
27,19J05563,8997PG2,20200128,190112,7740.000,RM054,RM129,PT00065936,FS10003742,,,,PT00013692,,,,PT00012138,R5097,R4415,,,,,,,,,,,,,,,,,,,,Containers
28,19J05863,8608RC,20200205,190119,2520.000,R1644A,RM129,RM074,FS10021636,,,,WP7449,,,,PT00006651,,R4415,WP0002PKG,,,,,,,,,,,,,,,,,,,Containers
29,19J06063,8871,20200122,190123,5390.000,R1700,RM020,PT00065942,FS10021624,,,PT00006652,WP7417BL,,,,CL63R98234,R5097,R4415,,,,,,,,,,,,,,,,,,,,Containers
30,19J06363,31180378,20200206,190126,2160.000,RM112,RM129,PT00062563,FS10006143,,,,WP4810,,,,PT00067912,,R4415,,,,,,,,,,,,,,,,,,,,Containers
31,19J08363,8939CRS,20200123,190164,430440.192,RM054,RM093,PT00065936,FS10028285,,,,WP7417P,,,,PT00012137,R5097,R4415,,,,,,,,,,,,,,,,,,,,Containers
32,19J08763,31157160,20200126,190171,1415.000,RM054,RM129,PT00065936,FS10006139,,,PT00047930,WP4810,,,,R98399A,,,,,,,,,,,,,,,,,,,,,,Containers
33,19J11163,8932PG2,20200227,190199,8080.000,RM054,RM129,PT00065936,FS10003746,,,,PT00013694,,,,PT00012138,R5097,R4415,,,,,,,,,,,,,,,,,,,,Containers
34,19J11263,31300919,20200122,190213,27360.000,R1680,RM171,RM260,FS10006050,,,,WP7605,,,,PT00006643,,R4415,,,,,R1679,,,,,,,,,,,,,,,Containers
35,19J12763,31156550,20200201,190238,4920.000,RM054,RM129,PT00065936,FS10006137,,,,WP4810,,,,PT00067912,,R4415,,,,,,,,,,,,,,,,,,,,Containers
36,19J12963,8535Y,20200102,190240,13600.000,R1317D,RM004,RM260,FS10003136,,,,WP8526,,,,PT00012105,,R4415,,,,,,,,,,,,,,,,,,,,Containers
37,19J13963,8860,20200102,190279,4800.000,R1292D,RM129,PT00065942,FS10003162,,,PT00006652,PT00013699,,,,CL63R98234,R5097,R4415,,,,,,,,,,,,,,,,,,,,Containers
38,19J15263,8527R,20200117,190297,33300.000,PT00049846,RM171,RM170,FS10003126,,,,WP8526,,,,PT00012105,,R4415,,,,,,,,,,,,,,,,,,,,Containers
39,19J190141,WP0001PKG,20200115,190141,25000.000,X9902,,,FS20006469,,,,,,,,,,,,,,,R5098,R4227,,,,,,,,,,,,,,Containers
40,19J190153,WP7026,20200113,190153,0,R1106A,RM004,,FS10002940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Containers
41,19J190207,WP7449,20200527,190207,32940.000,R98028,RM093,PT00065942,FS10002950,,PT00012284,,WP7478,X9899,,,,,,,X9894,WP7477,,,,,,,,,,,,,,,,,Containers
42,19J190208,WP7417BL,20200120,190208,0,R98028,RM176,PT00065943,FS10021625,,PT00012251,,WP7478,X9898,,,,,,,X9894,WP7477,,,,,,,,,,,,,,,,,Containers
43,19J190214,R7616,20200106,190214,161160.396,,RM004,,FS10007073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Containers
44,19J190217,R7075BY,20200106,190217,0,,RM044,RM041,FS10002858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Containers
45,19J190250,WP7478,20200121,190250,25985.485,,RM036,RM018,FS10002954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Containers
46,19J190251,WP7478,20200204,190251,25985.485,,RM036,RM018,FS10002954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Containers
47,19K00263X,R7642B,20200129,190300,1621.200,,0301009,,DC00005093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Syringe
48,19K00863X,8881112015,20200129,190306,0,5170588,0301001,0400145,DC00005796,,,,,EXP5050,PT00009994,4101801,PT00055216,,5241008,,,,,,,R7642B,,,,,,,,,,,,,Syringe
49,19K00963X,8881112015,20200226,190307,0,5170588,0301001,0400145,DC00005796,,,,,EXP5050,PT00009994,4101801,PT00055216,,5241008,,,,,,,R7642B,,,,,,,,,,,,,Syringe
50,19K01363,851301,20200108,190319,14500.000,R1320D,RM171,RM170,FS10003099,,,,WP851201N,,,,PT00006610,,R4415,,,,,,,,,,,,,,,,,,,,Containers
51,19K01463,85131,20200131,190320,46000.000,R1246D,RM171,RM170,FS10003101,,,,WP8510,,,,PT00006610,,R4415,,,,,,,,,,,,,,,,,,,,Containers
52,19K01863,8985S,20200226,190324,18900.000,R1644A,RM093,PT00062563,FS10003224,,,,WP7449,,,,PT00012137,R5097,R4415,,,,,,,,,,,,,,,,,,,,Containers
53,19K03363X,8881412012,20200601,190364,0,5500149,0301001,,FS10020754,,,,,PT00033972,PT00009994,4101801,,,5241008,,,,,,,,,,,,,,,,,,,,Syringe
54,19K04063X,8881907102,20200115,190371,0,EXP5013,,,FS10017466,,,,,EXP6021,PT00009994,,,,PT00004155,,,,,,,,,,,,,,,,,,,,Syringe
55,19K04863,V8900,20200102,190389,198.000,CL63R1146,RM129,,,,,,,,,,CL63R98337A,,R4415,,,,,,,,,,,,,,,,,,,,Containers
56,19K04963,8939PG2,20200117,190390,0,R1700,RM176,PT00062563,FS10003740,,,,WP7417P,,,,PT00012137,R5097,R4415,,,,,,,,,,,,,,,,,,,,Containers
57,19K05263,31143699,20200205,190393,73728.000,R1697,RM157,PT00065936,FS10007061,,,,WP7102,,,,PT00033501,,R4415,,,,,,,,,,,,,,,,,,,,Containers
58,19K05363,8506SA,20200108,190394,0,,,,FS10003084,,,,,,,,PT00006610,,R4415,,,,,,,,,,,,,,,,,,,,Containers
59,19K05463,8506SA,20200115,190395,112404.907,CL63R1776,RM171,,FS10003084,,,,,X98146,,,PT00006610,,R4415,,,,,,,,,,,,,,,,,,,,Containers
60,19K05963,8931,20200102,190402,0,,RM129,PT00062563,FS10003177,,,,PT00013702,,,,PT00012138,,,,,,,,,,,,,,,,,,,,,,Containers
61,19K06163,8950SA,20200102,190404,204035.969,R1306D,RM031,PT00065936,FS10003190,,,PT00068806,,,,,CL63R9876B,,R4415,,,,,,,,R7013,,,,,,,,,,,,Containers
62,19K06763,8985PG2,20200213,190410,0,R1644A,RM129,PT00062563,FS10003744,,,,PT00013692,,,,PT00012138,R5097,R4415,,,,,,,,,,,,,,,,,,,,Containers
63,19K06963,8998SPG2,20200121,190412,0,R1700,RM176,PT00065936,FS10003739,,,,WP7417P,,,,PT00012137,R5097,R4415,,,,,,,,,,,,,,,,,,,,Containers
64,19K07763,31143665,20200122,190447,4170.000,RM054,RM129,PT00065936,FS10006135,,,,WP4810,,,,PT00067912,,R4415,,,,,,,,,,,,,,,,,,,,Containers
65,19K07863,31143798,20200124,190448,465.000,RM112,RM129,PT00062563,FS10006136,,,,WP4810,,,,PT00067912,,R4415,,,,,,,,,,,,,,,,,,,,Containers
66,19K08063,31322723,20200115,190450,3060.000,R1693,RM106,RM170,FS10006051,,,PT00047930,R7637,,,,,,,,,,,R1694,,,,,,,,,,,,,,,Containers
67,19K08363,8303SA,20200102,190453,70425.771,R1378B,RM157,PT00065936,FS10003077,,,,,,,,PT00052518,,R4415,,,,,,,,,,,,,,,,,,,,Containers
68,19K08563,85221R,20200131,190455,57960.000,,RM171,RM170,FS10003118,,,,WP8520N,,,,PT00006610,,R4415,,,,,,,,,,,,,,,,,,,,Containers
69,19K08963,8906,20200219,190459,1026.000,CL63R1796,RM129,RM026,FS10003169,,,,,,,,PT00006610,,R4415,,,,,,,,,,,,,,,,,,,,Containers
70,19K090564,WP7026P,20200101,190564,0,CL63R1772,RM004,,FS20001324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Containers
71,19K09263,8939,20200107,190462,0,R1690,RM093,PT00062563,FS10003188,,,,WP7417P,,,,PT00012137,R5097,R4415,,,,,,,,,,,,,,,,,,,,Containers
72,19K09563,8990SA,20200102,190465,14560.000,R1528A,,,FS10003229,,,,WP3204,,,,PT00006610,,R4415,,,,,,,,,,,,,,,,,,,,Containers
73,19K10263X,8881512852,20201201,190472,0,PT00015840,0301001,,FS10011725,,,,,EXP6026,PT00009994,4001801,,,5241008,,,,,,,,,,,,,,,,,,,,Syringe
74,19K10763X,8881112985,20200108,190477,0,EXP6001,,,FS10024418,,,,,EXP5050,PT00009994,4001801,,,,,,,,,,,,,,,,,,,,,,,Syringe
75,19K11663,8985PG2Y,20200212,190512,8820.000,R1644A,RM129,PT00062563,FS10029259,,,,PT00013692,,,,PT00012138,R5097,R4415,,,,,,,,,,,,,,,,,,,,Containers
76,19K11863,8506Y,20200129,190514,57016.947,CL63R1776,RM171,RM260,FS10003085,,,,,X98146,,,PT00006610,,R4415,,,,,,,,,,,,,,,,,,,,Containers
77,19K12563X,4502570,20201201,190525,0,EXP5013,,,DC00056758,,,,,EXP5050,PT00009994,,,,,,,,,,,,,,,,,,,,,,,,Syringe
78,19K12663X,4502570,20201201,190526,0,5542735,0301001,,DC00056758,,,,,EXP5050,PT00009994,4001204,,,,,,,,,,,,,,,,,,,,,,,Syringe
79,19K13563,8820,20200102,190534,0,R1528A,RM129,PT00065942,FS10003159,,,PT00068803,WP8825,,,,CL63R98234,,R4415,,,,,R5098,,,,,,,,,,,,,,,Containers
80,19K13763,065,20200102,190543,1238.000,CL63R1771,,PT00065936,FS20001323,,,PT00034306,,,,,PT00034305,,R4415,,,,,,,,,,,,,,,,,,,,Containers
81,19K14163,31353611,20200116,190547,137206.592,,RM106,RM260,FS10006111,,,,PT00069525,,,,PT00067913,,R4415,,,,,,,,,,,,,,,,,,,,Containers
82,19K15063,8985SPG2,20200226,190556,5940.000,R1644A,RM129,PT00062563,FS10003745,,,,WP7449,,,,PT00012137,R5097,R4415,,,,,,,,,,,,,,,,,,,,Containers
83,19K15163,8989PG2,20200129,190557,0,R1700,RM176,PT00062563,FS10003741,,,,PT00013694,,,,PT00012138,R5097,R4415,,,,,,,,,,,,,,,,,,,,Containers
84,19K15263,8998PG2,20200204,190558,12040.000,RM054,RM176,PT00065936,FS10003738,,,,PT00013694,,,,PT00012138,R5097,R4415,,,,,,,,,,,,,,,,,,,,Containers
85,19K15363,V8985,20200204,190559,10180.000,CL63R1654,RM129,PT00062563,FS10003257,,,,PT00013692,,,,PT00012138,R5097,R4415,,,,,,,,,,,,,,,,,,,,Containers
86,19K15763X,4502570,20211201,190569,0,EXP5013,,,DC00056758,,,,,EXP5050,PT00009994,,,,,,,,,,,,,,,,,,,,,,,,Syringe
87,19K16263X,4502570,20201201,190574,0,EXP5013,,,DC00056758,,,,,EXP5050,PT00009994,,,,,,,,,,,,,,,,,,,,,,,,Syringe
88,19K16363X,4502570,20201201,190575,0,5542735,0301001,,DC00056758,,,,,EXP5050,PT00009994,4001204,,,,,,,,,,,,,,,,,,,,,,,Syringe
89,19K16463X,4502570,20201201,190576,0,EXP5013,,,DC00056758,,,,,EXP5050,PT00009994,,,,,,,,,,,,,,,,,,,,,,,,Syringe
90,19K16563X,4502570,20201201,190577,0,5542735,0301001,,DC00056758,,,,,EXP5050,PT00009994,4001204,,,,,,,,,,,,,,,,,,,,,,,Syringe
91,19K17363,8934,20200114,190586,0,R1292D,RM129,PT00062563,FS10003181,,,,WP7417P,,,,PT00012137,R5097,R4415,,,,,,,,,,,,,,,,,,,,Containers
92,19K17463,8982,20200110,190588,14560.000,R1528A,RM129,PT00062563,FS10003217,,,PT00068683,,,,,CL63R9960A,,R4415,,,,,R5098,,,,WP8982,,,,,,,,,,,Containers
93,19K17963X,4502570,20210401,190594,0,EXP5013,,,DC00056758,,,,,EXP5050,PT00009994,,,,,,,,,,,,,,,,,,,,,,,,Syringe
94,19K18263X,8881512878,20200601,190597,0,PT00015857,0301001,,FS10011723,,,,,EXP6026,PT00009994,4001801,,,5241008,,,,,,,,,,,,,,,,,,,,Syringe
95,19K18863,1522SA,20200129,190603,42519.859,R1302D,RM129,PT00065936,FS10003045,,,,,,,,PT00006610,,R4415,,,,,,,,R7013,,,,,,,,,,,,Containers
96,19K18963,31156916,20200103,190604,21280.000,R1528A,,,FS10026367,,,PT00047930,WP7102,,,,CL63RR98416,,,,,,,,,,,,,,,,,,,,,,Containers
97,19K190336,R7013,20200102,190336,0,,RM110,PT00065942,FS10002800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Containers
98,19K190414,WP8985,20200205,190414,0,R98028,RM093,PT00065942,DC00030201,,,,,,,,,,,,X9894,,,,,,,,,,,,,,,,,,Containers
99,19K190416,WP8965N,20200117,190416,0,,RM004,,FS10002987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Containers
100,19K190419,WP7605,20200205,190419,307684.935,,RM171,,FS10006059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Containers
101,19K190432,WP7102,20200101,190432,183521.893,,RM160,,FS10026576,,,,,,,,,,,,,,,,,,,,R7616,,,,,,,,,,Containers
102,19K190496,WP7478,20200210,190496,25985.485,,RM036,RM018,FS10002954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Containers
103,19K190499,WP7102,20200120,190499,243271.298,,RM160,,FS10026576,,,,,,,,,,,,,,,,,,,,R7616,,,,,,,,,,Containers
104,19K190503,PT00069525,20200204,190503,355992.576,CL63R1783,RM129,,DC00069150,,,,,X98142,,,,,,,,,,,,,,,,,,,,,,,,,Containers
105,19K190535,WP8825,20200102,190535,0,R98028,RM093,PT00065943,DC00030196,,,R4226A,,,,,,,,,X9894,,,,,,,,,R7075BY,R8249,,,,,,,,Containers
106,19K190589,WP8982,20200115,190589,0,R98028,RM160,PT00065942,FS10002992,,,,,,,,,,,,X9894,,,,,,,,,R7075BY,R8249,,,,,,,,Containers
107,19K190627,WP0002PKG,20200108,190627,22500.000,X9902,,,FS20006470,,,,,,,,,R5097,,,,,,,R4227,,,,,,,,,,,,,,Containers
108,19K190629,WP8980-C,20200205,190629,0,,RM004,,FS10002991,,,,,,,,,,,,,,,,,,R7013,,,,,,,,,,,,Containers
109,19K19063,31314886,20200108,190605,669691.492,,RM106,RM170,FS10006080,,,,PT00075579,,,,PT00067913,,R4415,,,,,,,,,,,,,,,,,,,,Containers
110,19K190630,WP8935,20200113,190630,0,RM054,RM129,PT00065936,FS10002982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Containers
111,19K190633,WP7477,20200113,190633,0,,RM171,,FS10027264,,,,,,,,CL63R3908,,,,,,,,,,,,,,,,,,,,,,Containers
112,19K190636,PT00075579,20200107,190636,1093.000,CL63R1783,RM129,,FS10006132,,,,,X98142,,,,,,,,,,,,,,,,,,,,,,,,,Containers
113,19K190677,WP8979,20200103,190677,0,,,,FS10002990,,,,,,,,,,,,,,,,,,R7013,,,,,,,,,,,,Containers
114,19K19463,8608RC,20200219,190609,17800.000,R1644A,RM129,RM074,FS10021636,,,,WP7449,,,,PT00006651,,R4415,WP0002PKG,,,,,,,,,,,,,,,,,,,Containers
115,19K19563,8850,20200313,190610,31500.000,R1644A,RM129,PT00065942,FS10003161,,,PT00006652,PT00013696,,,,CL63R98234,R5097,R4415,,,,,,,,,,,,,,,,,,,,Containers
117,19L00463,31300878,20200122,190658,0,PT00044733,RM171,RM260,FS10002818,,,,WP7102,,,,PT00006643,,R4415,,,,,,,,,,,,,,,,,,,,Containers
118,19L00763,8536SA,20200106,190661,65585.520,CL63R1780,RM171,,FS10003137,,,,,X98146,,,PT00006610,,R4415,,,,,,,,,,,,,,,,,,,,Containers
119,19L00963,8602RC,20200120,190663,0,R1528A,RM129,RM074,FS10023531,,,,,,,,PT00006651,,R4415,WP0001PKG,,,,,,,,WP8982,,,,,,,,,,,Containers
120,19L01063,8618RC,20200129,190664,3080.000,R1700,RM176,RM074,FS10021632,,,,WP7417P,,,,PT00006651,,R4415,WP0002PKG,,,,,,,,,,,,,,,,,,,Containers
121,19L01263,8985,20200113,190666,0,R1644A,RM129,PT00062563,FS10003221,,,,PT00013692,,,,PT00012138,R5097,R4415,,,,,,,,,,,,,,,,,,,,Containers
122,19L01363,V8506,20200115,190667,46428.115,CL63R1767A,RM171,,FS10029846,,,,,X98146,,,PT00006610,,R4415,,,,,,,,,,,,,,,,,,,,Containers
123,19L02263X,1181200777,20200601,190676,0,EXP6020,,,FS10017237,,,,,PT00033969,PT00009994,4001801,,,,,,,,,,,,,,,,,,,,,,,Syringe
124,19L02563,8506Y,20200302,190682,83896.368,CL63R1776,RM171,RM260,FS10003085,,,,,X98146,,,PT00006610,,R4415,,,,,,,,,,,,,,,,,,,,Containers
125,19L02663,8982CRH,20200107,190683,0,R1528A,RM129,PT00065936,FS10028277,,,,,,,,PT00006655,,R4415,,,,,R5098,,,,WP8982,,,,,,,,,,,Containers
126,19L03263X,4502570,20210609,190693,0,EXP5013,,,DC00056758,,,,,EXP5050,PT00009994,,,,,,,,,,,,,,,,,,,,,,,,Syringe
127,19L03363X,4502570,20210324,190694,0,5542735,0301001,,DC00056758,,,,,EXP5050,PT00009994,4001204,,,,,,,,,,,,,,,,,,,,,,,Syringe
128,19L03463X,4502570,20210401,190695,0,5542735,0301001,,DC00056758,,,,,EXP5050,PT00009994,4001204,,,,,,,,,,,,,,,,,,,,,,,Syringe
129,19L04363,8938Y,20200101,190708,0,R1690,RM093,RM026,,,,,WP8935,,,,CL63R9881A,,R4415,,,,,,,,,,,,,,,,,,,,Containers
130,19L04663,31353603,20200130,190720,400948.105,,RM032,RM170,FS10006109,,,,PT00069525,,,,PT00067913,,R4415,,,,,,,,,,,,,,,,,,,,Containers
131,19L04963,8507SA,20200108,190723,0,,,PT00052701,FS10003086,,,,,X98151,,,CL63R98334A,,PT00062605,,,,,,,,,,,,,,,,,,,,Containers
132,19L05263,85221,20200122,190726,15120.000,,RM171,,FS10003117,,,,WP8520N,,,,PT00006610,,R4415,,,,,,,,,,,,,,,,,,,,Containers
133,19L05363,8534SA,20200122,190727,78758.341,,RM032,RM170,FS10003134,,,,,,,,PT00006610,,R4415,,,,,,,,,,,,,PT00096177,,,,,,,Containers
134,19L05463,8541SA,20200111,190728,792.000,,RM032,RM170,FS10007851,,,,WP8540,,,,PT00006610,,R4415,,,,,,,,,,,,,,,,,,,,Containers
135,19L05963,8870,20200226,190733,9960.000,R1700,RM020,PT00065942,FS10003163,,,PT00006652,PT00013699,,,,CL63R98234,R5097,R4415,,,,,,,,,,,,,,,,,,,,Containers
136,19L06263,8974,20200219,190736,1000.000,R1025D,,,FS10003206,,,,,,,,,,R4415,,,,,,,,,,,,,,R8534,,,,,,Containers
137,19L06363,8980,20200122,190737,36720.000,RM054,RM129,PT00065936,FS10003210,,,,WP8980-C,,,,PT00012105,,R4415,,,,,,,,,,,,,,,,,,,,Containers
138,19L06463,8980S,20200219,190738,27540.000,RM054,RM129,PT00065936,FS10003214,,,,WP7445,,,,PT00006635,,R4415,,,,,,,,,,,,,,,,,,,,Containers
139,19L06663,8989,20200126,190740,0,R1690,RM093,PT00062563,FS10003226,,,,PT00013702,,,,PT00012138,R5097,R4415,,,,,,,,,,,,,,,,,,,,Containers
140,19L06763,8989,20200214,190741,25410.000,R1690,RM093,PT00062563,FS10003226,,,,PT00013702,,,,PT00012138,R5097,R4415,,,,,,,,,,,,,,,,,,,,Containers
141,19L06863,8991,20200117,190742,0,RM054,RM093,PT00065936,FS10003231,,,,WP7483,,,,PT00012105,,R4415,,,,,,,,,,,,,,,,,,,,Containers
142,19L07063,V8870,20200228,190744,9100.000,CL63R1769B,RM020,PT00065942,FS10029848,,,PT00006652,PT00013699,,,,CL63R98234,R5097,R4415,,,,,,,,,,,,,,,,,,,,Containers
143,19L07163,80-8705,20200130,190745,1764.000,RM054,RM165,PT00065936,DC00041675,,,PT00046145,WP8980-C,,,,PT00034294,,R4415,,,,,,,,,,,,,,,,,,,,Containers
144,19L07463,8507SA,20200106,190787,95299.813,CL63R1776,RM171,RM170,FS10003086,,,,,X98151,,,CL63R98334A,,PT00062605,,,,,,,,,,,,,,,,,,,,Containers
145,19L07563,31157111,20200204,190789,25088.000,R1697,RM157,PT00065936,FS10007067,,,PT00047930,WP7102,,,,CL63RR98416,,,,,,,,,,,,,,,,,,,,,,Containers
146,19L07663,8990Y,20200117,190791,5040.000,PT00044733,RM171,RM260,FS10003230,,,,WP3206,,,,PT00006610,,R4415,,,,,,,,,,,,,,,,,,,,Containers
147,19L07763X,8881112015,20200122,190794,0,5170588,0301001,0400145,DC00005796,,,,,EXP5050,PT00009994,4101801,PT00055216,,5241008,,,,,,,R7642B,,,,,,,,,,,,,Syringe
148,19L07963,8931,20200302,190798,0,R1292D,RM129,PT00062563,FS10003177,,,,PT00013702,,,,PT00012138,R5097,R4415,,,,,,,,,,,,,,,,,,,,Containers
149,19L08263X,8881512852,20200102,190804,0,EXP6020,,,FS10011725,,,,,PT00033971,PT00009994,4001801,,,,,,,,,,,,,,,,,,,,,,,Syringe
150,19L09263,1522SA,20200217,190818,42519.859,R1302D,RM129,PT00065936,FS10003045,,,,,,,,PT00006610,,R4415,,,,,,,,R7013,,,,,,,,,,,,Containers
151,19L09563,85021,20200115,190821,8000.000,R1324D,RM004,,FS10003080,,,,WP8510,,,,PT00006610,,R4415,,,,,,,,,,,,,,,,,,,,Containers
152,19L10063,8537SA,20200123,190826,160473.456,CL63R1780,RM171,RM170,FS10003139,,,,,X98146,,,PT00006610,,R4415,,,,,,,,,,,,,,,,,,,,Containers
153,19L10163,8556H,20200206,190827,1412.000,R98190,,,FS10003153,R8550LGB,,,,,,,CL63R98173,,R4415,,,,,,,,,,,,,,,8507SA,,,,,Containers
154,19L10363,8871,20200624,190829,7690.000,R1700,RM020,PT00065942,FS10021624,,,PT00006652,WP7417BL,,,,CL63R98234,R5097,R4415,,,,,,,,,,,,,,,,,,,,Containers
155,19L10463,8900SA,20200129,190830,1044.000,CL63R1796,RM129,PT00065936,FS10003166,,,,,,,,PT00006610,,R4415,,,,,,,,,,,,,,,,,,,,Containers
156,19L10563,8933,20200226,190831,8400.000,RM054,RM165,PT00065936,FS20001205,,,,WP7483,,,,PT00012105,,R4415,,,,,,,,,,,,,,,,,,,,Containers
157,19L10663,8967Y,20200219,190832,21600.000,R1300D,RM171,RM260,FS10003201,,,,WP8965U,,,,PT00006610,,R4415,,,,,,,,,,,,,,,,,,,,Containers
158,19L10963,8985CRS,20200331,190835,0,RM054,RM129,PT00065936,FS10028283,,,,WP7449,,,,PT00012137,R5097,R4415,,,,,,,,,,,,,,,,,,,,Containers
159,19L11163,8991Y,20200121,190837,0,R1690,RM093,PT00062563,FS10003233,,,,WP7483,,,,PT00012105,,R4415,,,,,,,,,,,,,,,,,,,,Containers
160,19L11263,V8536,20200203,190838,55227.744,CL63R1706,RM171,,FS10003253,,,,,X98146,,,PT00006610,,R4415,,,,,,,,,,,,,,,,,,,,Containers
161,19L12163X,4502570,20200108,190848,0,EXP5013,,,DC00056758,,,,,EXP5050,PT00009994,,,,,,,,,,,,,,,,,,,,,,,,Syringe
162,19L13263X,5551761207,20200203,190875,0,EXP6001,,,FS10013527,,,,,,,4101801,,,,,,,,,,,,,,,,,,,,,,,Syringe
163,19L13363,8507SA,20200203,190880,61496.888,CL63R1776,RM171,RM170,FS10003086,,,,,X98151,,,CL63R98334A,,PT00062605,,,,,,,,,,,,,,,,,,,,Containers
